Story ID	Area	Feature	User story	Expected behavior	Code refs	Automated coverage	Test status	Defect status	Priority	Notes
LCLI-WP-003	Work Planning	Ownership, assignment, claim, and release decisions	As a Staff / Tech Lead, I want owner, assignee, claim, and release changes to be explicit, so accountability is visible before and during execution.	Assignment fields can be changed from CLI and issue detail; ready-to-in-progress movement can prompt for an assignee; claim and release preserve backend ownership semantics and conflict handling.	internal/cli/data/claim.go; internal/cli/data/update.go; internal/backend/fleet/claim_release.go; internal/webui/handlers/issues/write_ops.go; internal/webui/frontend/src/hooks/issues/useRecentAssignees.ts; internal/webui/frontend/src/hooks/issues/useRecentOwners.ts; internal/webui/frontend/src/components/IssueDetailPanel/fields/AssigneeDropdown.tsx; internal/webui/frontend/src/components/IssueDetailPanel/fields/OwnerDropdown.tsx	internal/cli/data/update_test.go; internal/backend/fleet/fleet_release_test.go; internal/webui/handlers/issues/write_test.go; internal/webui/frontend/src/hooks/issues/__tests__/useRecentAssignees.test.ts; internal/webui/frontend/src/hooks/issues/__tests__/useRecentOwners.test.ts; internal/webui/frontend/src/components/IssueDetailPanel/fields/__tests__/AssigneeDropdown.test.tsx; internal/webui/frontend/src/components/IssueDetailPanel/fields/__tests__/OwnerDropdown.test.tsx	Automated coverage found; not run	None logged	P0	Broader runtime controls belong under Agent Delegation.
LCLI-WP-004	Work Planning	Dependency sequencing and blocker edits	As a Staff / Tech Lead, I want to add, remove, and inspect dependency links during planning, so work can be sequenced before execution starts.	Dependency APIs and issue-detail controls create and remove links, prevent invalid dependency edits, refresh affected issue state, and make blocker relationships available to planning and graph views.	internal/webui/handlers/issues/deps.go; internal/webui/frontend/src/components/IssueDetailPanel/sections/DependencySection.tsx; internal/webui/frontend/src/components/IssueDetailPanel/sections/DependencySearchPicker.tsx; internal/webui/frontend/src/components/GraphView/GraphView.tsx; internal/cli/data/update.go	test/fleetdb/ui/08-dependencies.spec.ts; test/fleetdb/ui/03-graph.spec.ts; internal/webui/handlers/issues/deps_test.go; internal/webui/frontend/src/components/IssueDetailPanel/sections/__tests__/DependencySection.test.tsx; internal/webui/frontend/src/components/IssueDetailPanel/sections/__tests__/DependencySearchPicker.test.tsx; internal/webui/frontend/src/components/GraphView/__tests__/GraphView.test.tsx; internal/cli/data/update_test.go	Automated coverage found; not run	None logged	P0	Split planning edits from blocker visibility.
LCLI-WP-005	Work Planning	Epic rollup and child-work decomposition	As a Staff / Tech Lead, I want epic rollups and child-work payloads to preserve planning context, so large initiatives can be decomposed before agents execute them.	Epic detail surfaces show child status, ownership, dependencies, and progress; lead-run payloads carry parent, repo, design, and assignment context without starting duplicate runtime work.	internal/epicrunner/assignment_context.go; internal/webui/frontend/src/components/IssueDetailPanel/sections/EpicRollup.tsx; internal/webui/frontend/src/utils/epicRunnerPayload.ts; internal/webui/frontend/src/views/AgentsPage.tsx; docs/product/lead-agent-epic-runner-spec.md	internal/epicrunner/assignment_context_test.go; internal/webui/frontend/src/components/IssueDetailPanel/sections/__tests__/EpicRollup.test.tsx; internal/webui/frontend/src/utils/__tests__/epicRunnerPayload.test.ts; internal/webui/frontend/src/views/__tests__/AgentsPage.test.tsx	Automated coverage found; not run; Manual pending	None logged	P0	Runtime lead execution is mapped under Agent Delegation and Automation & Workflows.
LCLI-WP-006	Work Planning	Design notes and acceptance criteria	As a Staff / Tech Lead, I want design notes and acceptance criteria captured on planned work, so implementation and review teams agree on scope before execution.	Issue detail and create/update flows preserve design panels, markdown descriptions, acceptance notes, and editable planning context through API writes and UI rendering.	internal/webui/frontend/src/components/IssueDetailPanel/sections/DesignPanel.tsx; internal/webui/frontend/src/components/IssueDetailPanel/sections/EditableDescription.tsx; internal/webui/frontend/src/components/IssueDetailPanel/sections/MarkdownRenderer.tsx; internal/webui/handlers/issues/write_ops.go	internal/webui/frontend/src/components/IssueDetailPanel/sections/__tests__/DesignPanel.test.tsx; internal/webui/frontend/src/components/IssueDetailPanel/sections/__tests__/EditableDescription.test.tsx; internal/webui/frontend/src/components/IssueDetailPanel/sections/__tests__/MarkdownRenderer.test.tsx; internal/webui/handlers/issues/write_test.go	Automated coverage found; not run	None logged	P1	Split from general metadata editing because it drives implementation/review quality.
LCLI-AD-001	Agent Delegation	Agent role policy routing	As a Staff / Tech Lead, I want role policies to constrain backend, model, task filters, skills, repo affinity, and safety limits, so delegated work reaches the right kind of agent.	Routing resolves role constraints, backend overrides, task filters, skills, repo affinity, read-only/tool limits, and backend availability warnings before work is assigned.	internal/cli/role/role_cmd.go; internal/cli/task_router.go; internal/cli/backends/backend_cmd.go; internal/cli/agentdef/agentdef_cmd.go; docs/testing/e2e-cli.md	internal/cli/task_router_test.go; internal/cli/backends/backend_cmd_test.go; internal/cli/backends/backend_codex_test.go; internal/cli/backends/backend_claude_test.go; docs/testing/e2e-cli.md	Automated coverage found; not run; Needs coverage	Open: README role examples use obsolete role set/unset flag syntax	P0	Direct role CRUD unit coverage was not found.
LCLI-AD-002	Agent Delegation	Agent definition authoring and desired state	As a Staff / Tech Lead, I want to define named agents with role, backend, repo, mode, concurrency, budget, autostart, and desired-state fields, so delegation targets are explicit before work starts.	Agent definition commands add, list, show, remove, start, and stop agent assignments; persisted records retain routing fields and desired state; invalid or unavailable backend choices fail with clear warnings.	internal/cli/agentdef/agentdef_cmd.go; internal/store/agent_store.go; internal/store/control_plane_store.go; internal/domain/agent.go	None found	Needs coverage	Open: README agentdef examples mention unsupported update command	P0	Direct agentdef command unit coverage was not found.
LCLI-AD-003	Agent Delegation	Pinned task starts and worktree preparation	As a Staff / Tech Lead, I want pinned agent starts to prepare the right local worktree and queue the intended task, so an agent begins the exact delegated work.	Agent start flows create local worktrees when workspace-local repo paths are known, persist parent or pinned-task context, enqueue control-plane starts when available, and preserve backend availability warnings.	internal/cli/agentdef/agentdef_cmd.go; internal/localworkspace/localworkspace.go; internal/cli/daemon/daemon_reconciler.go; internal/store/control_plane_store.go	internal/localworkspace/localworkspace_test.go; internal/cli/daemon/daemon_lifecycle_test.go; test/local-mode/verify-agent-routing.py	Automated coverage found; not run; Manual pending	None logged	P0	Real pickup proof still needs local-mode runtime evidence.
LCLI-AD-004	Agent Delegation	Agent lifecycle controls and live work panels	As a Staff / Tech Lead, I want to start, stop, yield, restart, and inspect agents, so delegated work can be controlled without guessing runtime state.	CLI, API, and UI control paths list agents, update desired state, issue daemon lifecycle commands, broadcast refresh events, show current task/worktree/session links, and surface daemon conflict or unavailable errors.	internal/cli/daemon/daemon_cmd.go; internal/webui/handlers/agents/handlers.go; internal/webui/handlers/agentcontrol/handlers.go; internal/webui/frontend/src/views/AgentsPage.tsx; internal/webui/frontend/src/components/AgentDetailPanel/AgentDetailPanel.tsx; internal/webui/frontend/src/components/AgentWorkPanel/AgentWorkPanel.tsx	internal/cli/daemon/daemon_cmd_test.go; internal/cli/daemon/supervisor/lifecycle_test.go; internal/webui/handlers/agents/handlers_test.go; internal/webui/handlers/agentcontrol/handlers_test.go; internal/webui/frontend/src/views/__tests__/AgentsPage.test.tsx; internal/webui/frontend/src/components/AgentDetailPanel/AgentDetailPanel.test.tsx; internal/webui/frontend/src/components/AgentWorkPanel/__tests__/AgentWorkPanel.test.tsx; test/fleetdb/ui/18-agents-fleetdb.spec.ts	Automated coverage found; not run	None logged	P0	Real lifecycle proof should use .agent-skills/loom-pr-test/SKILL.md.
LCLI-AD-005	Agent Delegation	Server-side agent control from CLI	As a Staff / Tech Lead, I want CLI controls for server-reported agents, so I can start, stop, restart, or yield work from the configured Loom server.	`loom data agents` lists server agents; `loom data agent` posts lifecycle actions with force-stop bodies and clear daemon, HTTP, and error-envelope failures.	internal/cli/data/agents.go; internal/cli/data/agentctl.go; internal/webui/handlers/agentcontrol/handlers.go; internal/webui/handlers/agents/handlers.go	internal/cli/data/agentctl_test.go; internal/webui/handlers/agentcontrol/handlers_test.go; internal/webui/handlers/agents/handlers_test.go	Automated coverage found; not run	None logged	P1	Separated from browser lifecycle panels.
LCLI-AD-006	Agent Delegation	Delegation queue, drain, and daemon logs	As a Staff / Tech Lead, I want daemon queue previews, drain controls, and bounded agent logs, so I can intervene when delegated work stalls.	Daemon commands show queue state, lifecycle status, logs, drain or yield behavior, stuck-agent handling, and graceful shutdown or diagnostic paths without hiding runtime failures.	internal/cli/daemon/daemon_cmd.go; internal/cli/daemon/daemon_logs_cmd.go; internal/cli/daemon/daemon_queue.go; internal/cli/daemon/supervisor/supervisor.go	internal/cli/daemon/daemon_cmd_test.go; internal/cli/daemon/daemon_logs_cmd_test.go; internal/cli/daemon/daemon_queue_test.go; internal/cli/daemon/supervisor/lifecycle_test.go	Automated coverage found; not run	None logged	P0	Split from broad daemon operations.
LCLI-AD-007	Agent Delegation	Task agent execution and completion	As a Developer, I want Loom task agents to claim work, build prompts, run backend CLIs, and complete or release tasks, so delegated implementation can finish cleanly.	Agent execution claims eligible work, builds task prompts with issue context, invokes configured backend CLIs, emits session events, handles completion, and releases or recovers ownership on failure.	internal/cli/agent/agent_cmd.go; internal/cli/agent/task.go; internal/cli/agent/claim.go; internal/cli/agent/complete.go; internal/cli/agent/prompts.go; internal/cli/agent/prompts/task.md; internal/cli/agent/prompts/fleet_task.md	internal/cli/agent/agent_cmd_test.go; internal/cli/agent/task_test.go; internal/cli/agent/claim_test.go; internal/cli/agent/complete_test.go; internal/cli/agent/prompts_test.go; internal/cli/agent/prompts_resume_test.go	Automated coverage found; not run	None logged	P0	Real agent execution evidence should follow .agent-skills/loom-pr-test/SKILL.md.
LCLI-AD-008	Agent Delegation	Automode polling and recovery	As a Developer, I want automode to poll for work and recover interrupted sessions, so assigned implementation can continue without manual babysitting.	Automode loops poll eligible work, respect yield and recovery state, resume daemon-backed sessions when possible, and avoid leaving claimed tasks stranded after interruption.	internal/cli/automode/automode.go; internal/cli/agent/recover.go; internal/cli/agent/daemon_resume.go; internal/cli/agent/task.go	internal/cli/automode/automode_test.go; internal/cli/agent/recover_test.go; internal/cli/agent/daemon_resume_test.go; internal/cli/agent/task_test.go	Automated coverage found; not run	None logged	P0	Split from generic agent runtime behavior.
LCLI-AD-009	Agent Delegation	Lead CLI planning and delegation sessions	As a Staff / Tech Lead, I want lead sessions to plan, decompose, and delegate issue work, so epics move from planning into executable child tasks.	Lead commands load planning context, produce decomposition prompts, preserve parent-epic scope, and hand off to epic runner or child-task execution without starting duplicate work.	internal/cli/agent/lead/lead.go; internal/cli/agent/plan.go; internal/epicrunner/start.go; internal/cli/agent/prompts/planning.md; internal/cli/agent/prompts/fleet_planning.md; internal/cli/agent/prompts/lead.md; docs/product/lead-agent-epic-runner-spec.md	internal/cli/agent/lead/lead_test.go; internal/cli/agent/plan_test.go; internal/epicrunner/start_test.go; internal/cli/agent/prompts_test.go; scripts/test-real-flue-epic-runner.sh	Automated coverage found; not run; Manual pending	None logged	P0	Split lead CLI behavior from workflow orchestration.
LCLI-AD-010	Agent Delegation	Lead epic delegation and worker orchestration	As a Staff / Tech Lead, I want a lead agent to own one epic, spawn child task attempts, and track completion, so larger initiatives can move through delegated agents.	Lead assignment prevents conflicting epic ownership, epic runner claims ready children, enqueues task runs up to concurrency, watches completion, records blocked or review outcomes, and keeps the agent work panel scoped to the epic.	internal/workflows/builtin/epic-runner.ts; internal/epicrunner/start.go; internal/webui/frontend/src/components/AgentWorkPanel/AgentWorkPanel.tsx; internal/cli/driver/epic_cmd.go; docs/product/lead-agent-epic-runner-spec.md	internal/workflows/builtin/epic-runner.test.mjs; internal/epicrunner/start_test.go; internal/workflows/epic_runner_blocked_test.go; internal/webui/frontend/src/components/AgentWorkPanel/__tests__/AgentWorkPanel.test.tsx; scripts/test-real-flue-epic-runner.sh; scripts/test-epic-runner-runtime-matrix.sh	Automated coverage found; not run; Manual pending	None logged	P0	Runtime scripts were not executed; avoid duplicate epic runs when backend assignment already exists.
LCLI-AD-011	Agent Delegation	Runner placement, scheduling, and retry	As a Staff / Tech Lead, I want delegated tasks scheduled to eligible local or remote runners, so work progresses reliably and unschedulable work fails clearly.	Task-run requests fail fast when no eligible node exists, workers claim runs, retries/backoff/stale sweeps preserve queue state, and local or Daytona runners report status, logs, patches, and terminal failures.	internal/driver/task_scheduling.go; internal/driver/task_worker.go; internal/driver/task_retry.go; internal/driver/stale_task_sweeper.go; internal/workflows/builtin/local-task-runner.ts; internal/workflows/builtin/daytona-task-runner.ts; test/local-mode/verify-local-mode.sh	internal/driver/task_worker_test.go; internal/driver/task_retry_test.go; internal/driver/stale_task_sweeper_test.go; internal/workflows/builtin/local-task-runner.test.mjs; internal/workflows/builtin/daytona-task-runner.test.mjs; make local-mode-verify; make local-mode-codex-verify	Automated coverage found; not run; Manual pending	None logged	P0	Live runner verification was not run.
LCLI-AD-012	Agent Delegation	Local and Daytona runner execution	As a Staff / Tech Lead, I want local and Daytona runners to execute delegated tasks in the right environment, so work can run on either local or remote capacity.	Runners prepare worktrees, inject scoped env, start approved CLIs, stream output, report lifecycle state, and surface terminal runner failures back to Loom.	internal/workflows/builtin/local-task-runner.ts; internal/workflows/builtin/daytona-task-runner.ts; internal/driver/bundled_runner.go; internal/driver/task_worktree_resolver.go; test/local-mode/verify-local-mode.sh	internal/workflows/builtin/local-task-runner.test.mjs; internal/workflows/builtin/daytona-task-runner.test.mjs; internal/driver/bundled_runner_test.go; internal/driver/task_worktree_resolver_test.go; make local-mode-verify; make local-mode-codex-verify	Automated coverage found; not run; Manual pending	None logged	P0	Split runner execution from scheduling.
LCLI-AD-013	Agent Delegation	Remote worker capacity and service routing	As a Platform Engineer, I want worker profiles and services to expose capacity and placement metadata, so delegated task runs route to eligible executors.	Worker commands and APIs manage worker profiles, service desired state, role/backend/repo capabilities, remote registration, lock-state updates, event forwarding, and log forwarding.	internal/cli/serve/worker/worker_cmd.go; internal/cli/serve/worker/profile_cmd.go; internal/cli/serve/worker/service_cmd.go; internal/store/platform_store.go; internal/webui/handlers/misc/worker_api.go	internal/cli/serve/worker/worker_cmd_test.go; internal/cli/serve/worker/profile_cmd_test.go; internal/cli/serve/worker/service_cmd_test.go; internal/webui/handlers/misc/worker_api_test.go	Automated coverage found; not run	None logged	P1	Setup details are also covered under Platform Setup.
LCLI-AD-014	Agent Delegation	FleetDB-backed logical-agent ownership leases	As a Staff / Tech Lead, I want logical agent ownership fenced by FleetDB leases, so only the active owner can execute or report delegated work.	Ownership flows acquire and verify FleetDB-backed logical-agent leases, merge control-plane state, fence stale owners, and keep daemon or worker takeover behavior explicit.	internal/store/control_plane_store.go; internal/infra/fleetdb/control_plane.go; internal/cli/daemon/supervisor/ownership.go; internal/cli/daemon/supervisor/control_plane.go; internal/domain/agent.go	internal/cli/daemon/supervisor/ownership_verify_test.go; internal/cli/daemon/supervisor/ownership_test.go; internal/cli/daemon/supervisor/control_plane_test.go	Automated coverage found; not run	None logged	P0	Doc-backed by daemon runtime architecture; split from generic lifecycle controls.
LCLI-AD-015	Agent Delegation	Issue-detail agent start actions	As a Staff / Tech Lead, I want Start Work and Review with Agent actions on an issue, so I can delegate the selected task without leaving the planning context.	Issue-detail actions choose an eligible agent, preserve task or review context, call the agent-control API, surface unavailable daemon errors, and avoid silently auto-starting unrelated work.	internal/webui/frontend/src/components/IssueDetailPanel/actions/StartWorkButton.tsx; internal/webui/frontend/src/components/IssueDetailPanel/IssueDetailPanel.tsx; internal/webui/frontend/src/api/agents/agents.ts; internal/webui/handlers/agentcontrol/handlers.go; internal/cli/daemon/daemon_control.go	internal/webui/frontend/src/components/IssueDetailPanel/actions/__tests__/StartWorkButton.test.tsx; internal/webui/frontend/src/components/IssueDetailPanel/__tests__/IssueDetailPanel.test.tsx; internal/webui/handlers/agentcontrol/handlers_test.go; internal/cli/daemon/daemon_control_test.go	Automated coverage found; not run	None logged	P0	Doc-backed by local-mode and agent-run UX specs; split from broad agent lifecycle panels.
LCLI-IW-001	Implementation Workspace	Work queue discovery and task context	As a Developer, I want read-only ready, blocked, review, and monitor views, so I can choose the right assigned or available work before mutating it.	Data read commands apply status, type, parent, repo, assignee, and output-format filters while preserving issue state; monitor views expose enough context to pick work safely.	internal/cli/data/list.go; internal/cli/data/show.go; internal/cli/data/monitor.go; internal/backend/issuebackend.go; internal/backend/fleet/fleet.go	internal/cli/data/list_test.go; internal/cli/data/show_test.go; internal/cli/data/monitor_test.go	Automated coverage found; not run	None logged	P0	Developer-facing counterpart to delivery queue visibility.
LCLI-IW-002	Implementation Workspace	Task claim, block, release, and close lifecycle	As a Developer, I want claim, update, block, release, close, and reopen operations to preserve backend ownership semantics, so my implementation state stays accurate.	Write commands and issue APIs enforce backend contracts, optimistic updates, assignee transitions, useful blocked reasons, close reasons, and FleetDB claim/release parity.	internal/cli/data/claim.go; internal/cli/data/update.go; internal/cli/data/close.go; internal/backend/fleet/claim_release.go; internal/backend/fleet/fleet_mutations.go; internal/webui/handlers/issues/write_ops.go	internal/cli/data/create_test.go; internal/cli/data/update_test.go; internal/cli/data/idempotency_test.go; internal/cli/data/local_backend_test.go; internal/backend/fleet/fleet_release_test.go; internal/webui/handlers/issues/write_test.go	Automated coverage found; not run	None logged	P0	Split mutation lifecycle from task context.
